date,manufacturer,car_model,car_year,sales
2020-10,Lamborghini,Reventón,2008,197
2019-08,Lincoln,Continental,1988,6
2018-05,Ford,Thunderbird,1965,166
2018-11,BMW,3 Series,2008,125
2018-08,Isuzu,Rodeo,1994,33
2021-07,Chevrolet,Suburban 1500,1996,183
2021-07,Mazda,MX-5,2011,148
2021-06,Mercedes-Benz,SLR McLaren,2009,80
2021-12,Hyundai,Scoupe,1994,159
2018-10,Ford,Taurus X,2009,189
2022-01,Studebaker,Avanti,1963,132
2018-08,Chevrolet,Caprice,1995,131
2018-09,Ford,Bronco,1986,198
2020-05,Chevrolet,Malibu Maxx,2006,198
2020-08,Mitsubishi,Endeavor,2009,83
2018-08,Saab,9000,1995,8
2021-03,Chevrolet,Avalanche,2012,179
2022-07,Suzuki,Swift,1997,150
2020-05,Mazda,Miata MX-5,2006,59
2022-11,Toyota,Sequoia,2009,26
2022-01,Acura,TSX,2007,19
2022-08,Honda,Odyssey,2002,129
2018-02,Ford,Mustang,1993,118
2019-11,Nissan,Murano,2004,137
2022-02,Chevrolet,G-Series 1500,1997,112
2018-09,Plymouth,Laser,1992,171
2022-02,Volvo,S60,2004,22
2021-10,Honda,Odyssey,1998,40
2018-06,Porsche,911,2003,21
2020-09,Volvo,S40,2001,77
2019-06,Mitsubishi,Galant,1992,75
2018-06,Pontiac,Grand Prix,1995,123
2022-12,Lotus,Esprit Turbo,1984,32
2019-09,Buick,LaCrosse,2006,3
2019-09,Audi,Q7,2012,166
2021-04,Mercury,Milan,2006,75
2021-08,Pontiac,Grand Am,2001,117
2022-03,BMW,325,2005,110
2021-03,Saab,9-7X,2007,146
2020-10,Chevrolet,Camaro,1996,145
2019-11,Acura,Legend,1995,36
2020-12,Mercedes-Benz,500SL,1993,2
2022-08,Lincoln,MKT,2013,180
2022-06,Volkswagen,New Beetle,2006,170
2021-07,Chevrolet,Sportvan G20,1992,16
2019-05,Suzuki,Swift,1993,50
2022-06,Mazda,MX-6,1988,6
2021-07,Lexus,IS F,2008,133
2021-03,GMC,Savana 2500,2001,68
2022-05,Buick,Park Avenue,1997,140
2020-09,Mercury,Mountaineer,1997,26
2019-04,Chevrolet,Impala,2011,119
2021-06,Nissan,Altima,2010,153
2019-09,Geo,Metro,1994,198
2022-04,Ford,Bronco,1986,169
2020-07,Nissan,Frontier,2004,46
2021-09,GMC,3500,1992,175
2021-04,Porsche,Cayenne,2013,4
2020-01,MINI,Cooper Clubman,2011,23
2021-02,Chevrolet,Astro,2000,16
2021-07,Scion,xB,2005,134
2019-02,Volkswagen,GLI,2008,54
2021-02,Lexus,LS,1991,183
2021-12,Pontiac,Grand Prix,1980,193
2020-12,Subaru,Legacy,1989,30
2018-07,BMW,5 Series,1994,75
2018-10,Dodge,Stealth,1992,168
2022-07,Volkswagen,Golf,1996,155
2019-03,Toyota,Tacoma,1999,6
2018-03,MINI,Clubman,2009,143
2022-07,Eagle,Vision,1994,57
2022-08,Buick,Coachbuilder,1992,41
2019-06,BMW,X6,2011,111
2021-02,Mitsubishi,Chariot,1989,74
2020-07,Panoz,Esperante,2007,146
2020-08,Hyundai,Sonata,2008,144
2020-02,Mitsubishi,Galant,1994,129
2020-08,GMC,Safari,1992,106
2018-10,Infiniti,Q,2001,76
2018-02,Toyota,FJ Cruiser,2011,51
2018-03,Ford,Taurus,1988,41
2020-05,Porsche,Boxster,1999,26
2022-04,Audi,A6,2005,68
2022-05,Audi,A8,2012,51
2021-02,Nissan,Quest,2007,177
2021-10,Lincoln,Navigator,2001,194
2018-04,Audi,A8,2010,72
2018-06,Jeep,Grand Cherokee,2004,117
2020-03,Pontiac,Bonneville,1999,167
2022-03,Jaguar,XF,2011,125
2022-07,Lexus,ES,1998,184
2019-09,Chevrolet,Camaro,1978,154
2018-06,Chevrolet,Suburban,2006,16
2021-02,Hummer,H2,2004,161
2020-06,Toyota,Land Cruiser,2005,137
2022-04,Maserati,GranTurismo,2008,93
2018-03,Nissan,Maxima,2006,55
2022-04,Mazda,626,1998,30
2022-11,Toyota,Highlander,2011,22
2022-12,Mitsubishi,Lancer Evolution,2003,91
2021-02,Ford,Bronco,1988,142
2022-05,Honda,Accord,1993,33
2022-07,GMC,Envoy,2008,119
2019-09,Acura,TL,1995,131
2019-06,Volkswagen,Jetta,2002,144
2018-09,Infiniti,I,1999,32
2018-12,Mazda,MPV,2005,141
2022-11,Mazda,B-Series Plus,1999,53
2018-11,Dodge,Caravan,2001,8
2019-10,GMC,Suburban 1500,1996,163
2020-12,Mitsubishi,Eclipse,1990,30
2019-09,Suzuki,Esteem,2000,87
2022-07,Mercury,Sable,1987,103
2022-02,Chrysler,Concorde,2004,119
2018-07,Volvo,C70,2007,145
2018-09,Dodge,Ram Van B150,1993,75
2019-06,GMC,Rally Wagon 3500,1992,189
2020-05,Toyota,Avalon,2004,169
2018-11,Dodge,Grand Caravan,1995,100
2018-08,Toyota,Sienna,2000,39
2020-07,Buick,Century,1999,79
2022-12,Toyota,Tundra,2008,28
2019-05,Jaguar,XJ Series,1994,154
2019-12,Nissan,Xterra,2009,8
2020-02,Pontiac,Aztek,2001,52
2021-08,Subaru,Impreza,1993,181
2019-09,GMC,Savana,2011,4
2019-01,Porsche,924,1988,180
2018-10,GMC,Canyon,2011,65
2019-04,GMC,Suburban 1500,1996,84
2019-07,Chrysler,300,2011,57
2019-04,Mercury,Grand Marquis,2009,70
2019-01,Buick,LeSabre,2005,93
2018-09,Toyota,4Runner,2003,135
2019-05,Chevrolet,HHR,2009,51
2022-05,Volkswagen,Cabriolet,1987,79
2018-05,MINI,Cooper Clubman,2010,84
2021-08,Volvo,S40,2001,199
2019-08,Dodge,Ram 1500,2008,144
2020-08,Dodge,Viper,2009,6
2018-12,Dodge,Caravan,2010,75
2021-09,Kia,Sorento,2006,47
2018-06,Ford,Taurus,1989,24
2019-02,Ford,Mustang,2002,107
2022-06,Infiniti,EX,2011,171
2022-06,Mazda,Mazdaspeed 3,2010,83
2021-06,Chevrolet,Corvette,1987,117
2018-03,Chevrolet,G-Series 1500,1998,79
2019-09,Cadillac,CTS,2004,159
2021-01,Audi,S5,2011,136
2019-07,Pontiac,Trans Sport,1997,143
2018-03,Pontiac,Vibe,2010,58
2020-12,Mazda,Millenia,2001,96
2020-04,Ford,Taurus,1989,100
2018-07,Nissan,Xterra,2002,128
2020-10,Acura,CL,1997,104
2021-04,Chevrolet,HHR,2010,120
2020-01,Mazda,RX-7,1986,144
2022-11,Mitsubishi,Mirage,1996,200
2019-07,Chevrolet,Express 3500,2002,57
2020-10,Hummer,H1,1994,77
2018-02,Toyota,Prius,2009,36
2022-12,Lexus,ES,1999,182
2022-04,Toyota,Tercel,1997,165
2022-03,Volvo,V70,2000,93
2018-12,Pontiac,Grand Am,2005,99
2021-08,Toyota,Highlander,2005,194
2019-05,Porsche,928,1987,59
2018-04,Chrysler,Sebring,2005,96
2019-03,Mitsubishi,Endeavor,2011,85
2020-01,Mitsubishi,Outlander,2012,79
2020-10,Jeep,Grand Cherokee,1997,38
2018-01,Volkswagen,Touareg,2011,73
2022-06,Lamborghini,Diablo,1999,20
2021-04,GMC,Suburban 1500,1999,138
2019-10,GMC,Yukon,2008,163
2018-07,GMC,Acadia,2011,156
2018-08,Dodge,Ram Van B150,1994,56
2019-05,Jaguar,X-Type,2005,25
2022-06,Lincoln,Town Car,2010,79
2021-06,Audi,80,1990,32
2021-08,Nissan,Armada,2011,195
2021-06,Austin,Mini,1963,29
2018-10,Jaguar,XJ Series,1999,58
2021-06,BMW,3 Series,2008,74
2018-05,BMW,Z4,2003,131
2018-10,Lamborghini,Diablo,1998,37
2019-03,Mazda,Protege,1992,161
2020-01,Volkswagen,New Beetle,2000,106
2019-01,Chrysler,Concorde,1995,8
2018-05,Chevrolet,Corvette,1965,4
2022-07,Ford,Econoline E250,1999,178
2020-07,Lexus,LX,2013,137
2021-07,BMW,7 Series,2006,160
2019-06,Toyota,Avalon,1997,69
2020-03,Ford,Ranger,2005,64
2022-12,Mitsubishi,Truck,1991,56
2021-04,Audi,A6,2002,13
2021-11,Mercedes-Benz,C-Class,2003,171
2020-02,GMC,Vandura 1500,1993,47
2022-05,Dodge,Intrepid,1997,59
2022-03,GMC,Sierra 1500,2011,69
2019-07,Chevrolet,G-Series 1500,1998,192
2020-03,GMC,1500 Club Coupe,1997,167
2019-02,Volkswagen,Passat,1997,30
2018-12,Volkswagen,Routan,2010,13
2020-12,Dodge,Avenger,2011,171
2020-04,Dodge,Nitro,2010,42
2018-07,Ford,E350,2005,68
2019-03,Acura,RSX,2004,190
2022-10,Infiniti,I,1996,135
2022-05,Ford,E250,2005,28
2019-07,Cadillac,Escalade,2009,53
2018-04,Dodge,Ram 1500 Club,1995,125
2022-12,Nissan,Murano,2010,124
2021-01,Lexus,IS F,2008,16
2022-01,Scion,xB,2012,44
2018-03,Suzuki,SJ,1992,173
2018-11,Suzuki,Forenza,2007,94
2022-08,Subaru,Impreza,2005,151
2022-10,Lexus,RX Hybrid,2012,54
2018-12,Mazda,Miata MX-5,1995,103
2020-07,Ford,Econoline E350,1992,11
2018-03,Mazda,MX-5,2001,9
2018-10,Land Rover,Discovery,2011,39
2020-03,Oldsmobile,Achieva,1992,142
2020-04,Lexus,LX,2002,173
2019-11,Chevrolet,Citation,1980,130
2022-05,Honda,CR-V,2012,56
2022-10,Lexus,IS F,2008,50
2021-09,Cadillac,Escalade ESV,2008,193
2022-12,Mitsubishi,Truck,1996,152
2021-12,Mercedes-Benz,W201,1992,89
2019-07,Nissan,Versa,2007,22
2022-12,Chevrolet,Silverado 3500,2009,169
2018-07,Chrysler,New Yorker,1993,97
2021-01,Mitsubishi,Lancer,2004,65
2020-06,Dodge,Durango,2009,145
2022-12,Buick,Riviera,1996,173
2021-08,Chevrolet,S10,1994,54
2022-11,Cadillac,DeVille,1994,117
2022-03,Toyota,RAV4,2012,152
2018-09,Nissan,Murano,2012,119
2020-03,Chrysler,Town & Country,2004,8
2020-09,Ford,Ranger,2005,78
2020-12,Mercedes-Benz,W201,1992,61
2022-05,Alfa Romeo,164,1994,186
2019-08,Subaru,Legacy,2003,165
2020-09,Scion,xB,2008,190
2018-01,GMC,Sonoma Club Coupe,1996,97
2022-09,Chevrolet,Suburban 1500,2011,200
2019-12,Dodge,Dakota Club,1996,164
2020-05,Isuzu,Rodeo,2001,182
2019-05,Dodge,Ram 50,1992,194
2020-04,Audi,5000S,1987,104
2021-11,Infiniti,G37,2011,167
2022-09,Volkswagen,Jetta,2002,49
2022-11,Daihatsu,Charade,1992,200
2018-02,Cadillac,DeVille,2002,52
2020-07,Aston Martin,Rapide,2010,156
2019-04,Kia,Spectra,2003,167
2020-05,Buick,Enclave,2012,196
2022-09,Ford,Escape,2004,143
2022-10,Dodge,Grand Caravan,1993,16
2019-10,Saab,900,1997,152
2021-01,Volkswagen,Touareg,2003,194
2021-01,Buick,Estate,1989,185
2022-12,Mitsubishi,Galant,2011,83
2021-01,Ford,Thunderbird,1986,113
2022-11,Nissan,GT-R,2009,100
2019-09,Lamborghini,Diablo,2001,82
2018-10,Honda,Civic,1990,190
2020-04,Ford,Ranger,2000,51
2022-10,Hyundai,Elantra,1992,24
2018-06,Kia,Rondo,2007,125
2022-05,Chevrolet,Impala,2005,197
2018-01,Aston Martin,DBS,2009,135
2022-03,Mercury,Grand Marquis,1995,63
2018-02,Ford,Ranger,1996,32
2018-09,Mitsubishi,Pajero,1987,91
2020-01,Honda,Prelude,1996,118
2018-07,GMC,Sierra 2500,2010,130
2018-05,Toyota,Land Cruiser,2005,179
2019-11,Infiniti,G,2012,7
2018-02,Dodge,Intrepid,2003,67
2018-03,Suzuki,SJ,1990,137
2019-03,Volkswagen,GTI,2008,95
2022-10,Mitsubishi,Eclipse,2008,197
2019-12,Mercedes-Benz,GL-Class,2008,134
2021-12,Chrysler,Sebring,2001,102
2022-10,Ford,Mustang,1966,160
2020-01,Volvo,S40,2007,167
2018-10,BMW,M6,2009,132
2018-12,Honda,S2000,2006,20
2022-11,Ford,EXP,1984,179
2022-07,Porsche,Cayman,2011,200
2021-06,Ford,E350,2005,140
2021-08,Audi,80/90,1988,111
2018-06,Oldsmobile,Achieva,1994,128
2021-07,Nissan,JUKE,2011,82
2022-11,Honda,Ridgeline,2008,56
2020-01,GMC,1500,1998,57
2018-10,Pontiac,Grand Prix,1997,43
2020-04,Volkswagen,Jetta,1992,131
2022-09,Mazda,B-Series Plus,2000,7
2019-04,Lexus,ES,1989,1
2021-02,Chevrolet,Sportvan G20,1995,117
2018-09,Mazda,MX-5,2007,61
2021-01,Hummer,H3,2008,129
2019-09,Mitsubishi,Lancer Evolution,2008,47
2018-01,Audi,A8,2004,25
2018-07,Nissan,Altima,1993,191
2019-04,GMC,1500 Club Coupe,1993,68
2019-09,Nissan,200SX,1997,67
2018-11,Ford,Crown Victoria,2002,43
2018-12,Pontiac,Bonneville,1984,183
2020-06,Lexus,SC,1993,69
2021-06,Ford,Mustang,2004,191
2019-09,Mercury,Mountaineer,1998,102
2018-02,Ford,Edge,2013,5
